67 5
9 9
64 22
16 27
52 27
19 28
58 32
68 32
11 34
16 38
13 45
72 45
3 49
29 51
40 52
19 55
30 56
21 57
23 58
37 58
12 58
33 60
22 61
27 66
20 68
31 69
20 71
18 76
78 76
28 80
28 82
31 84
3 95
35 95
19 97
58 99
25 99
64 103
54 103
35 105
18 109
11 117
4 129
16 132
25 134
12 137
49 175
42 191
61 192
13 199
49 202
44 202
72 207
38 215
58 217
33 221
61 224
15 233
11 234
29 235
16 237
12 237
50 237
14 240
40 241
11 241
45 241
23 243
33 245
23 246
63 247
32 250
19 251
37 252
15 252
21 255
10 255
16 256
13 258
5 259
35 261
28 262
40 266
25 267
3 268
20 271
5 271
10 271
63 272
13 274
13 275
18 276
40 278
33 279
22 284
59 286
11 286
18 289
15 290
6 292
56 294
33 295
17 296
21 297
25 315
19 316
14 317
81 331
63 340
16 345
26 352
24 355
