 30.7 319.1
-49.2 347.4
-37.3 344.5
-11.4 313.6
 31.3 177.0
-31.3   3.0
  4.6 308.0
 42.8 165.0
-22.2 352.6
  8.8 307.0
 19.3 190.3
-28.2   3.6 
 -2.3 306.1
 32.4 180.2
-29.7   9.1
-39.3 355.7
 21.2 286.8
 19.8 207.7
 18.9 192.1
 35.8 202.3
 41.3  44.9
-41.4  23.8
-25.9   9.3
-15.8  18.3
 27.3 186.2
 -0.8  31.1
 12.7 165.5
 37.2 202.3
 59.7 191.5
-16.4 297.2
  6.3 248.7
-57.5 155.8
 11.8 190.1
-11.4 341.3
 -3.4 346.3
  3.0 184.6
 62.6 323.2
 62.3 210.5
-16.3 316.0
-19.2 306.9
-31.0 331.0
-12.3 298.1
-21.7 296.2
-14.5  10.9
 28.8 249.0
 38.2 262.3
 31.8 270.0
 -6.0 338.5
 -2.8 332.2
  3.4 222.3
-20.6   3.3
 -5.7 325.9
  4.6 345.6
-34.4 294.4
 -8.2 358.7
-44.3  23.8
-43.5  20.8 
  8.7 280.5
-47.2 347.4
-48.3 341.9
-17.4  10.2
 -2.7  12.4
-17.6 321.0
-45.5  16.7
-22.7 353.5
 26.8 264.8
 39.1 258.5
 15.3 310.6
-12.0 281.2
-15.4   7.0
 23.2 342.8
 47.2 243.6
 22.5  89.4
 70.3 339.7
 71.9 359.9
-45.1 314.1
-24.4 325.4
-19.6   1.9
 -7.1 177.3
-68.3 324.5
-58.1 346.9
-57.5 350.0
 -1.6 321.4
 -5.7 314.6
-22.3 320.6
-17.3 304.7
-22.3 314.2
-16.5 306.3
-18.4 271.6
-36.7 316.0
-20.3 309.8
-20.5 313.0
-32.3 329.4
-29.3 334.9
-15.7 312.3
  5.9 269.8
-24.9 318.2
-40.0   0.4
-15.2 309.0
-21.6 310.4
-43.3 348.0
 41.0 291.9
 51.4 272.2
 43.9 273.0
-25.1 338.2
 -4.7 318.5
 19.2 298.2
