-70.5  36.5
 65.6  44.8
-17.2 349.9
 -3.3 179.7
-37.3 148.8
-62.0 160.0
-73.7   6.7
-74.5 178.2
 40.1  48.4
 -3.7 275.1
-40.2   7.3
 41.2 162.0
-16.5 188.7
-30.7 159.0
  0.9 100.9
 38.3 150.0
 46.8 168.8
-39.6 274.6
-73.0 338.2
 25.3 115.3
-26.7 293.9
-17.4  21.9
 14.2 115.7
 24.4 342.3
 68.6 315.1
 19.6 137.6
 18.6  30.2
 -7.4  43.8
-51.4 274.1
  6.6 349.6 
  0.1 287.5
-32.6  92.9
 47.4  63.7
 48.5 341.1 
 82.6  16.9
 67.0 270.5
 37.3 343.1
 61.9 141.7
 57.6   1.3
 54.0  34.6
-13.9 271.9
 14.9 338.4
-37.3   2.4
 44.2 144.2 
 10.6 254.5 
 70.6 333.3 
 59.0 240.9
 -4.9   8.1
-13.5 240.2
-22.6 339.2
 -8.8  42.4
 29.9 260.8
