109 14 N
260 12 S
024 19 SE
005 13 E
112 35 S
081 19 S
048 13 SE
029 17 SE
000 10 E
044 27 SE
060 28 SE
020 09 SE
345 16 E
347 16 E
315 19 NE
354 10 E
058 54 SE
080 70 S
097 41 N
086 63 N
071 60 S
054 19 SE
018 19 SE
281 23 N
288 27 NE
345 16 NE
081 53 S
168 20 E
173 20 E
040 23 SE
112 32 N
132 35 NE
256 18 N
111 25 N
123 36 NE
104 26 N
272 50 N
268 30 N
272 27 N
273 30 N
280 48 N
278 40 N
291 46 N
263 67 N
270 65 N
270 60 N
281 70 N
165 32 W
175 35 W
229 30 NW
202 30 NW
121 79 SW
281 55 N
282 42 N
246 49 N
268 48 N
281 46 N
256 65 N
251 54 N
253 50 N
242 49 N
246 63 N
243 39 N
255 46 N
192 25 W
236 48 NW
268 50 N
239 48 NW
266 66 N
245 66 NW
258 70 N
246 76 NW
294 25 NE
349 22 E
006 24 E
070 18 S
174 10 E
055 35 SE
300 40 NE
293 37 NE
279 10 N
234 30 SE
235 19 SE
163 16 E
045 31 SE
221 26 SE
151 22 E
272 69 N
236 29 SE
120 39 NE
108 52 N
266 68 S
110 33 N
186 19 E
251 57 S
072 57 S
169 25 E
161 46 E
136 18 NE
266 40 N
269 53 N
295 18 N
330 56 E
301 37 NE
286 30 N
276 38 N
255 56 N
099 44 N
088 55 N
286 44 N
279 50 N
272 49 N
104 50 N
101 47 N
286 46 N
254 72 N
262 57 N
249 70 N
275 55 N
186 25 W
240 28 N
115 20 N
227 29 SE
260 60 N
274 62 N
265 67 N
241 74 N
264 54 N
265 66 N
233 63 NW
245 69 NW
266 65 N
259 66 N
245 54 N
224 68 NW
251 54 N
253 22 N
268 47 N
271 67 N
251 38 N
239 46 NW
311 82 NE
280 47 N
277 19 N
246 65 NW
271 67 N
270 84 N
266 75 N
325 30 E
291 25 N
300 16 NE
272 25 NE
277 32 N
302 49 N
301 22 N
325 24 NE
136 85 SW
138 25 SW
235 10 N
277 35 N
323 24 NE
004 35 E
000 11 W
358 12 E
326 21 E
010 16 E
020 20 E
014 12 E
040 11 SE
006 12 E
125 21 SW
161 16 SW
265 12 N
328 17 NE
314 23 NE
312 08 NE
332 24 NE
036 14 SE
335 12 E
339 15 E
331 19 NE
172 20 E
149 23 NE
159 29 NE
186 20 E
186 16 E
171 27 E
176 14 E
133 58 NE
220 14 SE
148 18 NE
191 20 E
229 25 SE
125 40 NE
153 29 E
067 38 S
135 19 NE
154 22 E
143 10 NE
070 31 S
049 23 SE
